
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2023-01-03T15:51:27Z,,51.412463039159775,6.214348040521145,51.4751279912889,6.316582029685378,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,
24,51.45832596346736,6.235839994624257,28.914265,2022-12-08T13:25:30Z,,,"2001",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T13:25:30Z,
25,51.459734039381146,6.222970001399517,15.986069000000001,2022-12-08T13:51:19Z,,,"2002",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T13:51:19Z,
26,51.459386022761464,6.228301981464028,20.186523000000001,2022-12-08T14:00:11Z,,,"2003",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T14:00:11Z,
27,51.459717024117708,6.244283001869917,32.113579000000001,2022-12-08T14:06:08Z,,,"2004",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T14:06:08Z,
28,51.461287960410118,6.279151970520616,26.903744,2022-12-08T14:52:59Z,,,"2005",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T14:52:59Z,
29,51.462390013039112,6.284806989133358,25.200516,2022-12-08T14:57:52Z,,,"2006",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T14:57:52Z,
30,51.463634977117181,6.290875989943743,23.740845,2022-12-08T15:02:39Z,,,"2007",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T15:02:39Z,
31,51.460814969614148,6.270642997696996,33.565643000000001,2022-12-19T13:17:25Z,,,"2008",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-19T13:17:25Z,
32,51.46094799041748,6.262381039559841,35.886124000000002,2022-12-19T13:23:12Z,,,"2009",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-19T13:23:12Z,
33,51.461125016212463,6.257084012031555,36.066578,2022-12-19T13:28:25Z,,,"2010",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-19T13:28:25Z,
34,51.459246966987848,6.251003025099635,33.384995000000004,2022-12-19T13:34:29Z,,,"2011",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-19T13:34:29Z,
35,51.456641033291817,6.231794971972704,22.080627,2022-12-08T13:37:39Z,,,"3001",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T13:37:39Z,
36,51.454706992954016,6.224189987406135,16.672348,2022-12-08T13:44:55Z,,,"3002",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T13:44:55Z,
37,51.456430982798338,6.249495036900043,33.443351999999997,2022-12-08T14:18:17Z,,,"3003",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T14:18:17Z,
38,51.453351974487305,6.255909036844969,35.375655999999999,2022-12-08T14:25:13Z,,,"3004",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T14:25:13Z,
39,51.454600961878896,6.264245007187128,33.436508000000003,2022-12-08T14:32:24Z,,,"3005",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T14:32:24Z,
40,51.452427031472325,6.271278010681272,31.301773000000001,2022-12-08T14:40:04Z,,,"3006",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T14:40:04Z,
41,51.457034982740879,6.293671019375324,23.543645999999999,2022-12-08T15:11:04Z,,,"3007",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T15:11:04Z,
42,51.4578109793365,6.298980033025146,22.079338,2022-12-08T15:18:08Z,,,"3008",,,,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-08T15:18:08Z,
43,51.454789973795414,6.241140961647034,26.741565999999999,2022-12-19T09:36:26Z,,,"3009","BS3","BS3",,"Navaid, Red","user",,,,,,,,,,,SymbolAndName,,,2022-12-19T09:36:26Z,
