,Point ID,Observed Value [mGal],Time,Voltage [V],Temperature [°C],Altitude,Counter Reading,Remark,Date,Profile,ID,lat,lon,ele,time,cmt,name,x,y,Ele_tiff,minutes,drift factor,Corrected Value [mGal],Reading difference [mGal],abs_Grav,Elevation_corrected_normal,gravity_disturbance_Tomasz_Leo,Theo_Grav,gravity_disturbance_Andrea,gravity_disturbance_comparison,gravity_bouger_corrected,gravity_bouger_corrected1800,gravity_bouger_corrected2000,gravity_bouger_corrected2200,gravity_bouger_corrected2400,gravity_bouger_corrected2600,bouger_rho_delta,regional,residual
0,8001,4864.71321,1900-01-01 13:04:00,12.6,50.0,9,4754.5,Base Station I,6.12.2022,8.0,96,51.416290970519185,6.298264972865582,8.799789,2022-12-06T11:57:06Z,,8001,312137.2346870196,5699583.159398533,41.4175,0.0,0.0,4864.71321,0.0,981184.48,981183.1837322079,1.2962677921168506,981183.1876498479,1.292350152041763,-0.003917640075087547,-3.3411981617100537,-1.8301136051304638,-2.1774894748814404,-2.524865106213838,-2.8722407375462353,-3.219616607297212,-1.389503002166748,-2.970344157577813,-0.3708540041322408
1,8002,4865.533514,1900-01-01 13:14:00,12.6,50.0,13,4755.3,,6.12.2022,8.0,97,51.417150031775236,6.301201991736889,13.238115,2022-12-06T12:10:34Z,BASE1,8002,312344.9436765744,5699671.145612577,38.6,0.0,0.0,4865.533514,0.8203039999998509,981185.300304,981184.1291005001,1.1712034998927265,981184.1327503955,1.167553604580462,-0.0036498953122645617,-3.1507903279270977,-1.7425001801457256,-2.066245192429051,-2.389989966293797,-2.713734740158543,-3.0374799908604473,-1.2949798107147217,-2.910675207539782,-0.24011512038731553
2,8003,4866.2512799999995,1900-01-01 13:22:00,12.5,50.0,16,4756.0,,6.12.2022,8.0,98,51.41784899868071,6.303712958469987,15.555175,2022-12-06T12:20:06Z,,8003,312522.3706512597,5699742.430451211,37.055,0.0,0.0,4866.2512799999995,1.5380699999996068,981186.01807,981184.6676316308,1.3504383692052215,981184.671135219,1.3469347809441388,-0.0035035882610827684,-2.798563705990091,-1.4466416707728058,-1.757428633281961,-2.068215118953958,-2.3790018430445343,-2.6897885671351105,-1.2431468963623047,-2.890922030471586,0.09235832448149495
3,8004,4866.456356,1900-01-01 13:32:00,12.5,50.0,18,4756.2,,6.12.2022,8.0,99,51.417407020926476,6.305652027949691,17.087118,2022-12-06T12:28:22Z,,8004,312655.36776750605,5699688.328451052,35.9175,0.0,0.0,4866.456356,1.743145999999797,981186.223146,981184.9796210155,1.2435249844565988,981184.9830174856,1.2401285143569112,-0.0033964700996875763,-2.7781129321083426,-1.46769146528095,-1.7689378699287772,-2.0701840361580253,-2.3714302023872733,-2.6726766070351005,-1.2049851417541504,-2.882718498972565,0.10460556686422251
4,8005,4867.174121999999,1900-01-01 13:41:00,12.6,50.0,18,4756.9,Changing voltage,6.12.2022,8.0,100,51.417749002575874,6.310514034703374,17.734779,2022-12-06T12:39:01Z,,8005,312994.7761486295,5699713.9282217175,32.12,0.0,0.0,4867.174121999999,2.460911999999553,981186.940912,981186.1817389486,0.7591730514541268,981186.1847782275,0.7561337725492194,-0.0030392789049074054,-2.8372632106766105,-1.6653905948624015,-1.93478689994663,-2.2041827281937003,-2.4735785564407706,-2.742974861524999,-1.0775842666625977,-2.9460295018882903,0.1087662912116798
5,8006,4868.404578000001,1900-01-01 13:53:00,12.5,49.9,17,4758.1,,6.12.2022,8.0,101,51.41806298866868,6.315432032570243,17.373825,2022-12-06T12:53:01Z,,8006,313337.9582025221,5699736.295166976,28.8525,0.0,0.0,4868.404578000001,3.6913680000006934,981188.171368,981187.2178257678,0.9535422321641818,981187.2205585835,0.9508094164775684,-0.0027328156866133213,-2.277036428800784,-1.2243759635603055,-1.4663670066511258,-1.708357811323367,-1.9503486159956083,-2.1923396590864286,-0.967963695526123,-3.108472585715674,0.83143615691489
6,8007,4868.712192,1900-01-01 14:03:00,12.5,49.9,20,4758.4,,6.12.2022,8.0,102,51.419294038787484,6.316582029685378,19.79159,2022-12-06T13:02:03Z,,8007,313422.921112663,5699870.239365294,28.2375,0.0,0.0,4868.712192,3.998982000000069,981188.478982,981187.5163615984,0.96262040163856,981187.5190369964,0.9599450036184862,-0.0026753980200737715,-2.199097251635976,-1.1688745972933248,-1.4057074544252828,-1.6425403115572408,-1.8793729302706197,-2.1162057874025777,-0.9473311901092529,-3.190610436061718,0.9915131844257417
7,8008,4863.995444,1900-01-01 14:46:00,12.4,49.9,38,4753.8,Next to windmill,6.12.2022,8.0,103,51.414916003122926,6.294203018769622,38.460358,2022-12-06T13:45:40Z,,8008,311849.1891861264,5699440.70956492,43.607502,0.0,0.0,4863.995444,-0.7177659999997559,981183.762234,981182.3864355013,1.3757984987460077,981182.3905614883,1.3716725116828457,-0.004125987063162029,-3.506879056338221,-1.9158942350186408,-2.281638110522181,-2.6473815091885626,-3.0131251462735236,-3.3788692601956427,-1.462975025177002,-3.1185519843505176,-0.3883270719877032
8,8009,4863.277678,1900-01-01 14:59:00,12.4,49.9,42,4753.1,,6.12.2022,8.0,104,51.41503703780472,6.288583036512136,41.980202,2022-12-06T13:58:01Z,,8009,311458.9598395291,5699468.616192252,45.06,0.0,0.0,4863.277678,-1.4355319999995118,981183.044468,981181.9488862974,1.095581702538766,981181.9531511688,1.0913168311817572,-0.004264871357008815,-3.9497307020938024,-2.305752344778739,-2.6836784560000524,-3.0616043288027868,-3.439530201605521,-3.8174565512454137,-1.5117042064666748,-3.4400713928419577,-0.5096593092518447
9,8010,4862.867526,1900-01-01 15:03:00,12.5,49.9,40,4752.7,,6.12.2022,8.0,105,51.41404101625085,6.284112967550755,40.490585,2022-12-06T14:03:49Z,,8010,311144.07445233356,5699369.388898218,45.365,0.0,0.0,4862.867526,-1.845683999999892,981182.6343159999,981181.7667759968,0.8675400031497702,981181.7710695273,0.863246472668834,-0.00429353048093617,-4.211923001916148,-2.556816695840098,-2.937301038415171,-3.3177851425716653,-3.6982692467281595,-4.078753350884654,-1.5219366550445557,-3.7964778751277777,-0.4154451267883701
